position, player, projection, salary
"PG", "Stephen Curry", 45.3, 9900
"C", "DeMarcus Cousins", 40.2, 9800
"PG", "Michael Carter-Williams", 35, 8700
"PF", "Pau Gasol", 37.9, 8600
"SF", "Rudy Gay", 36.9, 8400
"PG", "Kyle Lowry", 33.6, 8300
"SG", "DeMar DeRozan", 33.9, 8200
"C", "Joakim Noah", 28.1, 8100
"C", "Marc Gasol", 34.5, 7800
"PF", "Zach Randolph", 32.2, 7800
"PF", "Dirk Nowitzki", 32.1, 7800
"PG", "Deron Williams", 32, 7700
"PG", "Derrick Rose", 28.9, 7700
"PG", "Tony Wroten", 38.8, 7600
"SG", "Monta Ellis", 28.1, 7500
"SG", "Klay Thompson", 33.8, 7500
"C", "Brook Lopez", 27.8, 7200
"PG", "Mike Conley", 28.1, 7100
"SG", "Jimmy Butler", 34.2, 7000
"PF", "David Lee", 5, 7000
"PG", "Darren Collison", 32.1, 6500
"SF", "Draymond Green", 27.6, 6500
"SG", "Joe Johnson", 32.1, 6400
"SF", "Chandler Parsons", 24.1, 6300
"PF", "Nerlens Noel", 22.4, 6000
"C", "Jonas Valanciunas", 21.2, 6000
"C", "Tyson Chandler", 27.1, 6000
"PF", "Taj Gibson", 25.6, 5900
"C", "Andrew Bogut", 25.1, 5800
"SF", "Mike Dunleavy", 21, 5400
"SG", "Courtney Lee", 25.1, 5300
"C", "Henry Sims", 19.1, 5200
"PF", "Amir Johnson", 21.3, 5000
"PG", "Jameer Nelson", 15.8, 4900
"SF", "Harrison Barnes", 19.4, 4900
"PG", "Aaron Brooks", 21, 4800
"SG", "Tony Allen", 21.6, 4800
"SF", "Andre Iguodala", 14.6, 4700
"PG", "Raymond Felton", 23, 4700
"SF", "Mirza Teletovic", 21.8, 4700
"PF", "Brandon Davies", 17.8, 4700
"SG", "Terrence Ross", 18.5, 4700
"PF", "Kevin Garnett", 22.2, 4700
"PF", "Patrick Patterson", 17.8, 4600
"PG", "Devin Harris", 21.5, 4600
"SF", "Hollis Thompson", 19.5, 4500
"SF", "Bojan Bogdanovic", 15.9, 4400
"C", "Mason Plumlee", 16.1, 4400
"PG", "Kirk Hinrich", 15.6, 4400
"SF", "K.J. McDaniels", 16.9, 4300
"PG", "Greivis Vasquez", 15.5, 4200
"SG", "Ben McLemore", 15.1, 4200
"PG", "Jarrett Jack", 15.5, 4200
"SF", "James Johnson", 17, 4100
"SF", "Tayshaun Prince", 12.7, 4100
"PG", "Beno Udrih", 12.4, 3900
"PG", "Ramon Sessions", 9.5, 3900
"SF", "Vince Carter", 9.1, 3900
"C", "Brandan Wright", 17, 3900
"SG", "Louis Williams", 13.8, 3800
"PG", "Alexey Shved", 15.5,3800
"SF", "Luc Richard Mbah a Moute", 18.6, 3800
"C", "Kosta Koufos", 8.7, 3800
"PF", "Carl Landry", 15.1, 3800
"PG", "Jose Juan Barea", 13.3, 3700
"SG", "Chris Johnson", 13.6, 3700
"PF", "Reggie Evans", 11.8, 3700
"SG", "Jason Richardson", 20, 3700
"SF", "Andrei Kirilenko", 2.5, 3600
"PG", "Nick Calathes", 12.2, 3500
"SG", "Tony Snell", 4.9, 3500
"PF", "Cameron Bairstow", 0, 3500
"SF", "Drew Gordon", 0, 3500
"PG", "Gal Mekel", 5.8, 3500
"PF", "Jarnell Stokes", 0, 3500
"PF", "Malcolm Thomas", 11.1, 3500
"SF", "Bruno Caboclo", 0, 3500
"PF", "Greg Smith", 1.1, 3500
"SF", "Doug McDermott", 7.3, 3500
"C", "Joel Embiid", 0, 3500
"SG", "Sergey Karasev", 2.1, 3500
"PF", "Jerami Grant", 0, 3500
"SF", "Richard Jefferson", 6.1, 3500
"PG", "Kalin Lucas", 0, 3500
"SG", "Jordan Adams", 0, 3500
"C", "Ognjen Kuzmic", 1.6, 3500
"SG", "Alan Anderson", 9.8, 3500
"SG", "Nik Stauskas", 5.9, 3500
"C", "Lucas Nogueira", 0, 3500
"SG", "Ricky Ledo", 2.2, 3500
"PG", "Ray McCallum", 3.8, 3500
"SG", "Nemanja Nedovic", 2.2, 3500
"SG", "Markel Brown", 0, 3500
"C", "Jerome Jordan", 4.4, 3500
"SF", "Landry Fields", 1, 3500
"PF", "Derrick Williams", 3.5, 3500
"PG", "Shaun Livingston", 6.3, 3500
"PF", "Nikola Mirotic", 9.3, 3500
"SF", "Quincy Pondexter", 6.5, 3500
"SF", "Al-Farouq Aminu", 10.6, 3500
"C", "Nazr Mohammed", 5.2, 3500
"SG", "Leandro Barbosa", 12.9, 3500
"SF", "Omri Casspi", 13.2, 3500
"C", "Greg Stiemsma", 5.4, 3500
"PF", "Marreese Speights", 10.3, 3500
"C", "Ryan Hollins", 2.1, 3500
"PF", "Jon Leuer", 5.8, 3500
"PF", "Jakarr Sampson", 6.1, 3500
"PF", "Eric Moreland", 0, 3500
"C", "Chuck Hayes", 3.5, 3500
"C", "Festus Ezeli", 7.5, 3500
"PF", "Charlie Villanueva", 1.9, 3500
"SG", "Brandon Rush", 0.8, 3500
"PF", "Tyler Hansbrough", 11.7, 3500
"PF", "Cory Jefferson", 5.2, 3500
"PG", "E'Twaun Moore", 0, 3500
"PG", "Jorge Gutierrez", 2, 3500
"PF", "Jason Thompson", 10.7, 3500
"SF", "Jae Crowder", 4.8, 3500
"SF", "Justin Holiday", 1.8,3500
